customer_ID,period,target_val,target_volm,actual_val,actual_volm,actual_rr_val,actual_rr_volm,skewed_actual_rr_val,skewed_actual_rr_volm,required_rr_val,required_rr_volm,skewed_req_rr_val,skewed_req_rr_volm
10,201802,NA,NA,1361778.96,166.2,48634.962857142855,5.935714285714285,NA,NA,NA,NA,NA,NA
13,201802,NA,NA,24436.97,20.0,872.7489285714286,0.7142857142857143,NA,NA,NA,NA,NA,NA
15,201802,NA,NA,75966.61,100.0,2713.093214285714,3.5714285714285716,NA,NA,NA,NA,NA,NA
19,201802,NA,NA,38700.58,30.0,1382.1635714285715,1.0714285714285714,NA,NA,NA,NA,NA,NA
20,201802,NA,NA,67137.86,5.1,2397.780714285714,0.18214285714285713,NA,NA,NA,NA,NA,NA
22,201802,NA,NA,67194.48999999999,46.5,2399.803214285714,1.6607142857142858,NA,NA,NA,NA,NA,NA
23,201802,NA,NA,179196.92,483.8,6399.89,17.27857142857143,NA,NA,NA,NA,NA,NA
24,201802,NA,NA,288215.74000000005,172.0,10293.419285714288,6.142857142857143,NA,NA,NA,NA,NA,NA
25,201802,NA,NA,407712.71,292.4,14561.168214285715,10.442857142857141,NA,NA,NA,NA,NA,NA
1,201803,NA,NA,2264477.9200000004,1180.0,73047.67483870969,38.064516129032256,NA,NA,NA,NA,NA,NA
2,201803,NA,NA,838875.92,124.0,27060.513548387098,4.0,NA,NA,NA,NA,NA,NA
3,201803,NA,NA,41326662.379999995,7035.799999999998,1333118.1412903224,226.9612903225806,NA,NA,NA,NA,NA,NA
6,201803,NA,NA,103840.0,50.0,3349.6774193548385,1.6129032258064515,NA,NA,NA,NA,NA,NA
9,201803,NA,NA,69218.8,70.0,2232.8645161290324,2.2580645161290325,NA,NA,NA,NA,NA,NA
10,201803,NA,NA,4085044.67,797.0,131775.63451612904,25.70967741935484,NA,NA,NA,NA,NA,NA
13,201803,NA,NA,49112.53999999999,26.0,1584.2754838709675,0.8387096774193549,NA,NA,NA,NA,NA,NA
16,201803,NA,NA,39671.6,20.0,1279.7290322580645,0.6451612903225806,NA,NA,NA,NA,NA,NA
19,201803,NA,NA,44436.32,13.0,1433.429677419355,0.41935483870967744,NA,NA,NA,NA,NA,NA
20,201803,NA,NA,19835.8,10.0,639.8645161290323,0.3225806451612903,NA,NA,NA,NA,NA,NA
23,201803,NA,NA,215899.18,431.0,6964.489677419355,13.903225806451612,NA,NA,NA,NA,NA,NA
24,201803,NA,NA,632117.8999999999,452.8,20390.899999999998,14.606451612903227,NA,NA,NA,NA,NA,NA
25,201803,NA,NA,2012570.3899999997,420.40000000000003,64921.62548387096,13.561290322580646,NA,NA,NA,NA,NA,NA
1,201804,NA,NA,889498.0400000002,835.0,29649.93466666667,27.833333333333332,NA,NA,NA,NA,NA,NA
2,201804,NA,NA,1454310.0599999998,261.8,48477.00199999999,8.726666666666667,NA,NA,NA,NA,NA,NA
3,201804,NA,NA,638315.1799999999,458.0,21277.172666666665,15.266666666666667,NA,NA,NA,NA,NA,NA
4,201804,NA,NA,29256.68,20.0,975.2226666666667,0.6666666666666666,NA,NA,NA,NA,NA,NA
6,201804,NA,NA,32223.62,24.0,1074.1206666666667,0.8,NA,NA,NA,NA,NA,NA
10,201804,NA,NA,3474693.28,487.5,115823.10933333333,16.25,NA,NA,NA,NA,NA,NA
23,201804,NA,NA,609975.2799999999,659.5,20332.50933333333,21.983333333333334,NA,NA,NA,NA,NA,NA
24,201804,NA,NA,291601.69000000006,44.0,9720.056333333336,1.4666666666666666,NA,NA,NA,NA,NA,NA
25,201804,NA,NA,363377.4999999999,199.8,12112.58333333333,6.66,NA,NA,NA,NA,NA,NA
1,201805,NA,NA,851707.4800000001,480.0,27474.43483870968,15.483870967741936,78039.7,88.02,NA,NA,NA,NA
6,201805,NA,NA,200257.52,132.0,6459.92,4.258064516129032,12934.25,9.92,NA,NA,NA,NA
10,201805,NA,NA,477189.8,54.0,15393.21935483871,1.7419354838709677,61706.87,4.71,NA,NA,NA,NA
12,201805,NA,NA,231178.3,13.5,7457.3645161290315,0.43548387096774194,NA,NA,NA,NA,NA,NA
13,201805,NA,NA,29695.32,1.4,957.9135483870967,0.04516129032258064,2059.21,0.11,NA,NA,NA,NA
16,201805,NA,NA,256864.78,15.0,8285.96064516129,0.4838709677419355,8285.96,0.48,NA,NA,NA,NA
17,201805,NA,NA,565102.53,33.0,18229.113870967743,1.064516129032258,NA,NA,NA,NA,NA,NA
18,201805,NA,NA,205491.84,12.0,6628.769032258065,0.3870967741935484,NA,NA,NA,NA,NA,NA
20,201805,NA,NA,128432.39,7.5,4142.980322580645,0.24193548387096775,NA,NA,NA,NA,NA,NA
21,201805,NA,NA,102400.77,6.0,3303.2506451612903,0.1935483870967742,NA,NA,NA,NA,NA,NA
22,201805,NA,NA,1152008.61,67.5,37161.568064516134,2.1774193548387095,NA,NA,NA,NA,NA,NA
23,201805,NA,NA,392909.05,221.6,12674.485483870967,7.148387096774194,16271.09,9.84,NA,NA,NA,NA
25,201805,NA,NA,167868.0,94.0,5415.096774193548,3.032258064516129,71224.5,41.15,NA,NA,NA,NA
